Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Plate (folio 11) from Vzorval' (Explodity),Olga Rozanova,5066,"(Russian, 1886–1918)",(Russian),(1886),(1918),(female),"1913–14, published 1914",Lithograph from an illustrated book with 20 lithographs (including cover),"composition (irreg.): 5 1/8 x 4 1/2"" (13 x 11.4 cm)",Purchase,201.1977.9,Illustrated Book,Drawings & Prints,1977-05-03,Y,13364,https://www.moma.org/collection/works/13364,https://www.moma.org/media/W1siZiIsIjU1NjQ3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=54a142e2d7b27f5f,,,,,13.0,,,11.4,,
In-text plate from Thirteen Poems,Ben Shahn,5366,"(American, born Lithuania. 1898–1969)",(American),(1898),(1969),(male),1956,Offset lithograph from an illustrated book with one wood engraving and fifteen offset lithographs,"page (each): 13 × 9 1/4"" (33 × 23.5 cm); book (overall): 13 7/16 × 9 15/16 × 1/2"" (34.2 × 25.2 × 1.2 cm)",The Louis E. Stern Collection,1059.1964.11,Illustrated Book,Drawings & Prints,1964-10-06,N,450522,,,,,,,33.0,,,23.5,,
Plate III from Wrinkle,Liliana Porter,4703,"(Argentine, born 1941)",(American),(1941),(0),(female),1968,One from a portfolio of ten photogravures,"plate: 8 7/16 x 11 5/16"" (21.5 x 28.7 cm); sheet: 13 1/4 x 16"" (33.7 x 40.6 cm)",Latin American Fund,383.1973.3,Print,Drawings & Prints,1973-10-24,Y,16494,https://www.moma.org/collection/works/16494,https://www.moma.org/media/W1siZiIsIjIyNDA3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3ce1ed4eb3403cb3,,,,,21.5,,,28.7,,
Untitled from Illustrations for Tender Buttons,Edward Meneeley,3927,"(American, 1927–2012)",(American),(1927),(0),(male),1965,One from an illustrated book with ten xerox images,"page: 14 x 8 1/2"" (35.5 x 21.6cm)",John B. Turner Fund,661.1965.10,Illustrated Book,Drawings & Prints,1965-10-07,Y,165867,https://www.moma.org/collection/works/165867,https://www.moma.org/media/W1siZiIsIjI2MDQyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d0e159998cfdc7f7,,,,,35.5,,,21.6,,
Mappemonde,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),c. 1948,Etching,"plate: 6 7/8 x 4 15/16"" (17.4 x 12.5cm); sheet: 9 13/16 × 6 15/16"" (25 × 17.7 cm)",Gift of the artist,251.1992,Print,Drawings & Prints,1992-05-20,Y,65258,https://www.moma.org/collection/works/65258,https://www.moma.org/media/W1siZiIsIjE1NTYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9b37fe7bad3755c0,,,,,17.4,,,12.5,,
Raseia,Aleksei Grishchenko,23471,,(),(0),(0),(male),1922,,"Page: 10 x 7 3/4"" (25.4 x 19.7 cm)",Gift of The Judith Rothschild Foundation,1094.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,31521,,,,,,,25.4,,,19.7,,
"Slowdown Children Growing (plate, folio 18) from Your House is Mine",John Fekner,7086,"(American, born 1950)",(American),(1950),(0),(male),"printed 1988-92, published 1992","One from an illustrated book with thirty screenprints bound in a lead, wood, and flexible plastic cover","sheet: 23 1/16 × 19 7/8"" (58.5 × 50.5 cm)",The Ralph E. Shikes Fund,30.1993.3,Illustrated Book,Drawings & Prints,1993-01-18,N,10202,,,,,,,58.3,,,49.0,,
Skirts,Clare Strand,49089,"(British, born 1973)",(British),(1973),(0),(female),2011,Gelatin silver print,"9 7/16 × 11 13/16"" (24 × 30 cm)",Gift of Donna Redel,1837.2015.a,Photograph,Photography,2016-01-28,Y,199118,https://www.moma.org/collection/works/199118,https://www.moma.org/media/W1siZiIsIjM0MzU1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d553c966276af72c,,,0.0,,24.0,,,30.0,,
Pocket Radio (model T3),"Dieter Rams, Hochschule für Gestaltung, Ulm, Germany","8451, 7145","(German, born 1932) (est. 1953)",(German) (German),(1932) (1953),(0) (0),(male) (),1958,Plastic casing,"3 1/4 x 6 x 1 5/8"" (8.3 x 15.2 x 4.1 cm)",Gift of the manufacturer,595.1965,Design,Architecture & Design,1965-06-08,Y,4134,https://www.moma.org/collection/works/4134,https://www.moma.org/media/W1siZiIsIjUxOTMxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=112ac0bbbbf05a5d,,,4.1275,,8.255,,,15.24,,
Landscape,Clarence H. White,6338,"(American, 1871–1925)",(American),(1871),(1925),(male),c. 1905,Gelatin silver print,"9 3/8 × 7 9/16"" (23.9 × 19.2 cm)","Gift of Mr. and Mrs. Clarence H. White, Jr., 1972",93.1975,Photograph,Photography,1975-02-12,Y,46136,https://www.moma.org/collection/works/46136,https://www.moma.org/media/W1siZiIsIjIwODE4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1321573d900a467f,,,,,23.9,,,19.2,,
Tuileries -- Groupe par Cain,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1911,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.2536,Photograph,Photography,1968-03-06,Y,40587,https://www.moma.org/collection/works/40587,https://www.moma.org/media/W1siZiIsIjMwMjY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e84bff86fcb069fc,,,,,,,,,,
"Colorado Springs, Colorado",Robert Adams,66,"(American, born 1937)",(American),(1937),(0),(male),1968,Gelatin silver print,"5 15/16 × 5 15/16"" (15.1 × 15.2 cm)",Purchase,60.1970,Photograph,Photography,1970-03-04,Y,45244,https://www.moma.org/collection/works/45244,https://www.moma.org/media/W1siZiIsIjUyNDQwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5586225ecbb1c89c,,,,,15.1,,,15.2,,
Untitled,Ernest J. Bellocq,453,"(American, 1873–1949)",(American),(1873),(1949),(male),c. 1912,"Gelatin silver printing-out-paper print, printed 1966-69","irregular 9 13/16 × 7 3/4"" (25 × 19.7 cm)",Gift of Lee Friedlander,112.1972,Photograph,Photography,1972-03-07,Y,46438,https://www.moma.org/collection/works/46438,https://www.moma.org/media/W1siZiIsIjE0NDcwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8084c1dce37179c4,,,,,25.0,,,19.7,,
"Student Demonstration, Paris",Henri Cartier-Bresson,1000,"(French, 1908–2004)",(French),(1908),(2004),(male),June 1968,"Gelatin silver print, printed 1968","15 5/8 × 23 1/16"" (39.7 × 58.6 cm)",Gift of the artist,256.2009,Photograph,Photography,2009-02-09,Y,110859,https://www.moma.org/collection/works/110859,https://www.moma.org/media/W1siZiIsIjI1OTQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1243aeff621f62b8,,,,,39.6876,,,58.5789,,
"Closed on Kind of Fire, New York",William Klein,3136,"(American, 1928–2022)",(American),(1928),(2022),(male),1955,Gelatin silver print,"11 × 13 15/16"" (27.9 × 35.4 cm)",Committee on Photography Fund,142.2014,Photograph,Photography,2014-02-20,Y,177225,https://www.moma.org/collection/works/177225,https://www.moma.org/media/W1siZiIsIjI5MTAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=395bfa6a0e4acd2e,,,,,27.9,,,35.4,,
Plate (folio 20) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 1/4 x 10 11/16"" (31.1 x 27.1 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.9,Illustrated Book,Drawings & Prints,1949-09-29,Y,19424,https://www.moma.org/collection/works/19424,https://www.moma.org/media/W1siZiIsIjE5MDUxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c1ac148de7b72f53,,,,,31.1,,,27.1,,
"Church Street Redevelopment and Renewal Project, New Haven, CT (Floor plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1965,Pencil and ink on print,(13.6 x 13.6 cm.),"Mies van der Rohe Archive, gift of the architect",MR6501.74,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,469300,,,,,,,,,,,,
Direct Line(Ligne directe),Pierre Alechinsky,107,"(Belgian, born 1927)",(Belgian),(1927),(0),(male),1976,Etching,"Plate: 3 1/2 x 3 1/2"" (8.9 x 8.9 cm) Comp(irreg): 19 1/8 x 29 5/16"" (48.6 x 74.4 cm) Sheet(irreg): 20 1/4 x 3 0 3/16"" (51.4 x 76.7 cm)",Gift of the artist,603.1978,Print,Drawings & Prints,1978-10-17,Y,71723,https://www.moma.org/collection/works/71723,https://www.moma.org/media/W1siZiIsIjIxMzczNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b762cbc6d0eaafbb,,,,,48.6,,,74.4,,
Untitled from Pisueña,Juan Uslé,48665,"(Spanish, born 1954)",(Spanish),(1954),(0),(male),2009,One from a portfolio of ten digital prints with chine collé,"plate: 10 3/8 × 7 11/16"" (26.4 × 19.6 cm); sheet: 16 3/4 × 13 3/8"" (42.5 × 33.9 cm)",Gift of Jacob and Yael Samuel,1737.2015.9,Print,Drawings & Prints,2015-10-27,Y,199578,https://www.moma.org/collection/works/199578,https://www.moma.org/media/W1siZiIsIjM0MDU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=86fd3d9580eaf39f,,,,,26.4,,,19.6,,
Untitled,Alan Herman,27503,"(American, born 1947)",(American),(1947),(0),(male),1980,Etching and aquatint,"plate  14 3/4 x 23 7/8"" (37.5 x 60.7 cm); sheet  22 5/8 x 29 3/4"" (57.5 x 75.5 cm)",John B. Turner Fund,589.1980,Print,Drawings & Prints,1980-10-28,Y,71567,https://www.moma.org/collection/works/71567,https://www.moma.org/media/W1siZiIsIjIyMTQ2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1459bf1500809dce,,,,,37.5,,,60.7,,
"January 22, 1973",Melissa Shook,5407,"(American, 1939–2020)",(American),(1939),(2020),(female),1973,Gelatin silver print,"4 1/4 × 4 1/4"" (10.8 × 10.8 cm)",John Parkinson III Fund,193.1974,Photograph,Photography,1974-04-02,Y,48159,https://www.moma.org/collection/works/48159,https://www.moma.org/media/W1siZiIsIjIxNzY5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f4636b489237a62e,,,,,10.8,,,10.8,,
Laurel Canyon Couple,Tracy Nakayama,28734,"(American, born 1974)",(American),(1974),(0),(female),(2003),"Colored ink and pencil on paper
","13 x 10"" (33 x 25.4 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2516.2005,Drawing,Drawings & Prints,2005-05-10,Y,96798,https://www.moma.org/collection/works/96798,https://www.moma.org/media/W1siZiIsIjEyMjE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8b795f5506662174,,,,,33.0201,,,25.4001,,
"Resor House project, Jackson Hole, WY (Ceiling plan. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1937—1938,Pencil on tracing paper,(21.5 x 33 cm.),"Mies van der Rohe Archive, gift of the architect",MR3800.239,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,494232,,,,,,,,,,,,
Fluxus Evenement Mondiale,,,,,,,,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4820,(not assigned),Fluxus Collection,2008-10-08,N,140249,,,,,0.0,,0.0,,,0.0,,
Flowers,Arthur B. Davies,1402,"(American, 1862–1928)",(American),(1862),(1928),(male),1919-20,Lithograph,"composition: 8 7/8 x 15 7/8"" (22.5 x 40.4cm); plate: 10 5/8 x 15 7/8"" (27 x 40.4cm)",Gift of Abby Aldrich Rockefeller,808.1940,Print,Drawings & Prints,1940-04-05,Y,74238,https://www.moma.org/collection/works/74238,https://www.moma.org/media/W1siZiIsIjI2MjUwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=71bdb670456a5875,,,,,22.5,,,40.4,,
One and Its Opposite (To Be Heard in Two Directions),Joe Colley,46874,"(American, born 1972)",(American),(1972),(0),(male),2005,7-inch vinyl record,dimensions vary,Committee on Prints and Illustrated Books Fund,854.2013.72,Audio,Drawings & Prints,2013-10-10,Y,183937,https://www.moma.org/collection/works/183937,https://www.moma.org/media/W1siZiIsIjQwMDE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8d72176518ff0b54,,,,,,,,,,
Conchoidal Chair (Perspective sketch),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),early 1940s,Pencil on paper,"6 x 8 3/4"" (15.2 x 22.2 cm)","Mies van der Rohe Archive, gift of the architect",1053.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,Y,106883,https://www.moma.org/collection/works/106883,https://www.moma.org/media/W1siZiIsIjU2ODQ3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c09d48fb62eea093,,,,,15.2400304801,,,22.2250444501,,
Unidentfied Project (Perspective. Sketch.),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),n.d.,ink on paper,(20.3 x 12.7 cm.),"Mies van der Rohe Archive, gift of the architect",MR1000.740,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,470845,,,,,,,,,,,,
"860/880 Lake Shore Drive Apartment Building, Chicago, IL (Building no. 2. Floor plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1948—1951,Pencil and colored pencil on paper,(62.2 x 92.7 cm.),"Mies van der Rohe Archive, gift of the architect",MR4807.117,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,461951,,,,,,,,,,,,
"IIT Master Plan, General Studies, Preliminary Studies, Chicago, IL (Exterior perspective.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1939—1941,Pencil on paper,(44.4 x 107.3 cm.),"Mies van der Rohe Archive, gift of the architect",MR3900.131,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,455135,,,,,,,,,,,,
Osinni zori. Zbirka poezii,Unknown artist,23390,,(),(0),(0),(),1924,,"Page: 6 3/4 x 4 7/16"" (17.1 x 11.2 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),942.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,29081,,,,,,,17.1,,,11.2,,
Dear Data: Week 4 (Mirror Mirror on the Wall / A Week of Mirrors),"Giorgia Lupi, Stefanie Posavec","67122, 39150","(Italian, born 1981) (American, born 1981)",(Italian) (American),(1981) (1981),(0) (0),(female) (female),2014,".a: Ink, marker, and pencil on paper
.b: Ink and pencil on paper",".a (Giorgia to Stefanie): 5 1/2 × 8 1/2"" (14 × 21.6 cm)
.b (Stefanie to Giorgia): 5 7/8 × 8 1/4"" (14.9 × 21 cm)",Committee on Architecture and Design Funds,962.2016.4a-b,Design,Architecture & Design,2016-10-17,Y,216729,https://www.moma.org/collection/works/216729,https://www.moma.org/media/W1siZiIsIjQwMzM1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=409c6d1361f0dc3e,,,,,,,,,,
10 Bilder (10 Pictures),Hans-Peter Feldmann,8045,"(German, 1941–2023)",(German),(1941),(2023),(male),1972,"Staple-bound book of half-tone photographs, 12 pages","book, closed: 3 13/16 × 2 11/16"" (9.7 × 6.9 cm)",Gift of Helen and Sam Zell,481.2022.20,Illustrated Book,Drawings & Prints,2022-05-24,N,496681,,,,,0.0,,9.7,,,6.9,,
Tron (Amputee) from House Beautiful: Bringing the War Home,Martha Rosler,6832,"(American, born 1943)",(American),(1943),(0),(female),c. 1967–72,Cut-and-pasted printed paper on board,"14 x 11"" (35.6 x 27.9 cm)",Richard S. Zeisler Bequest (by exchange) and The Modern Women's Fund,841.2011.11,Drawing,Drawings & Prints,2011-09-26,N,147457,,,,,,,35.5600711201,,,27.9400558801,,
"IIT Field House Building, Gymnasium, Natatorium, Chicago, IL (Gymnasium. Aerial perspective. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945,Pencil on paper,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4506.84,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,456538,,,,,,,,,,,,
The Dignity of Labor (Arbeit adelt) from the portfolio Interregnum,George Grosz,2374,"(American, born Germany. 1893–1959)",(American),(1893),(1959),(male),"1935, published 1936",Offset lithograph,"composition (irreg.): 8 11/16 x 11 1/4"" (22 x 28.5 cm); sheet: 11 9/16 x 15 15/16"" (29.4 x 40.5 cm)",Gift of Miss Caresse Crosby,306.1938.2,Print,Drawings & Prints,1938-10-20,Y,66532,https://www.moma.org/collection/works/66532,https://www.moma.org/media/W1siZiIsIjExMzQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2d3e48d1026e11df,,,,,22.0,,,28.5,,
(Untitled) (Porta Maggiore),Gioacchino Altobelli,131,"(Italian, 1814–c. 1879)",(Italian),(1814),(1879),(male),1855-69,Albumen silver print,"11 1/8 × 14"" (28.3 × 35.5 cm)",Acquired through the generosity of Blanchette Hooker Rockefeller,804.1978,Photograph,Photography,1978-12-14,N,56479,,,,,,,28.3,,,35.5,,
"Untitled, no. 20 of 34, from the illustrated book, Ode à l'Oubli",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),2004,Fabric collage,"page: 10 5/8 x 13 3/8"" (27 x 34 cm)",Gift of the artist,545.2005.21,Illustrated Book,Drawings & Prints,2005-06-02,Y,121725,https://www.moma.org/collection/works/121725,https://www.moma.org/media/W1siZiIsIjE0NTcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7dd3dfee42cb49ec,,,,,27.0,,,33.8,,
Set design for Don Quixote,Eugene Berman,502,"(American, born Russia. 1899–1972)",(American),(1899),(1972),(male),(1950),Ink on paper,"6 3/4 x 10 3/8"" (17.2 x 26.4 cm)",Gift of Sylvia Marlowe,258.1978,Drawing,Drawings & Prints,1978-04-04,Y,35687,https://www.moma.org/collection/works/35687,,,,,,17.1,,,26.4,,
Untitled (Study for The Inner World),Thomas Chimes,1105,"(American, 1921–2009)",(American),(1921),(2009),(male),(1961),Ink on paper,"9 x 11 7/8"" (22.8 x 30.1 cm)",Given anonymously,240.1962,Drawing,Drawings & Prints,1962-10-09,Y,35464,https://www.moma.org/collection/works/35464,https://www.moma.org/media/W1siZiIsIjEwNzg4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=40de6824363a7949,,,,,22.9,,,30.2,,
"Fence with Painted Sign of Hand, Sandusky, Ohio",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(male),1947,Gelatin silver print,"9 1/2 × 12 3/16"" (24.2 × 31 cm)",Gift of the artist,435.2015,Photograph,Photography,2015-05-28,Y,187377,https://www.moma.org/collection/works/187377,https://www.moma.org/media/W1siZiIsIjMyNDIxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=faa8da37cac09876,,,,,24.2,,,31.0,,
The Sea,Raoul Dufy,1646,"(French, 1877–1953)",(French),(1877),(1953),(male),(1925),Lithograph,,Purchase,84.1949.5,Print,Drawings & Prints,1949-03-24,N,146720,,,,,,,,,,,,
Woods,Hodaka Yoshida,6506,"(Japanese, 1926–1995)",(Japanese),(1926),(1995),(female),1955,Woodcut,"composition: 16 9/16 x 9 3/4"" (42 x 24.7cm); sheet: 22 15/16 x 16 7/16"" (58.2 x 41.8cm)",Mrs. Bertram Smith Fund,82.1957,Print,Drawings & Prints,1957-05-15,Y,61547,https://www.moma.org/collection/works/61547,https://www.moma.org/media/W1siZiIsIjIyMzgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=534b098e6d8297ae,,,,,42.0,,,24.7,,
Purple Red Gray Orange,Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1988,Lithograph,"composition (irreg.): 41 3/8 x 204"" (105.1 x 518.2 cm); sheet: 51 9/16 x 223 3/8"" (131 x 567.4 cm)",Gift of Jeanne C. Thayer,9.1989,Print,Drawings & Prints,1989-01-18,Y,59789,https://www.moma.org/collection/works/59789,,,,,,105.1,,,518.2,,
INDIAN DANCE,Judson Briggs,776,"(American, 1906–pre-2007)",(American),(1906),(0),(male),1940,Serigraph,"Sheet 11 3/4 x 17 15/16"" (29.9 x 45.5 cm)  Comp. 9 3/4 x 12"" (24.7 x 30.3 cm)",Purchase,317.1941,Print,Drawings & Prints,,N,66802,,,,,,,24.7,,,30.3,,
Unidentfied Project (Partial floor plan. Sketch.),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),n.d.,Pencil on paper,(15.2 x 22.2 cm.),"Mies van der Rohe Archive, gift of the architect",MR1000.832,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,470932,,,,,,,,,,,,
Number 584,Anne Ryan,5097,"(American, 1889–1954)",(American),(1889),(1954),(female),1953,Cut-and-pasted colored and printed paper and cloth on board,"12 5/8 x 9 7/8"" (32.2 x 25.2 cm)",Gift of Elizabeth McFadden,772.1978,Drawing,Drawings & Prints,1978-10-27,Y,38038,https://www.moma.org/collection/works/38038,https://www.moma.org/media/W1siZiIsIjMxODgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=073c8bfad9b9c66b,,,,,32.1,,,25.1,,
"Gotland, Sweden",Kenneth Josephson,2944,"(American, born 1932)",(American),(1932),(0),(male),1967,Gelatin silver print,"9 × 6"" (22.8 × 15.2 cm)",Purchase,84.1971,Photograph,Photography,1971-03-02,Y,45902,https://www.moma.org/collection/works/45902,https://www.moma.org/media/W1siZiIsIjE5MDc1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=566317e82b3e5c71,,,,,22.8,,,15.2,,
"Untitled, no. 13 of 14, from À l'Infini (set 1)",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),2008,"Etching, with hand additions","plate (in 2 horizontal parts): 35 11/16 × 59 7/8"" (90.7 × 152.1 cm); sheet: 40 × 60"" (101.6 × 152.4 cm)","Purchased with funds provided by Agnes Gund, Marie-Josée and Henry R. Kravis, Marlene Hess and James D. Zirin, Maja Oeri and Hans Bodenmann, and Katherine Farley and Jerry Speyer, and Richard S. Zeisler Bequest (by exchange)",590.2010.13,Print,Drawings & Prints,2010-09-16,Y,177459,https://www.moma.org/collection/works/177459,https://www.moma.org/media/W1siZiIsIjQ4NzUxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cd5e7841888cb06f,,,,,90.7,,,152.1,,
Untitled from Room 1987 (Raum 1987),Günther Förg,1940,"(German, 1952–2013)",(German),(1952),(2013),(male),1987,One from a portfolio of twelve lithographs,"composition: 17 5/16 x 10 3/16"" (44 x 25.8cm); sheet: 28 1/4 x 20 3/8"" (71.8 x 51.7 cm)",Walter Bareiss Fund,6.1989.5,Print,Drawings & Prints,1989-01-18,Y,59698,https://www.moma.org/collection/works/59698,https://www.moma.org/media/W1siZiIsIjIzODg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=afdb49bb39127734,,,,,44.0,,,25.8,,
"A Gold Ball Bouncing Along a Hard Flat Board, Loses Energy. Where Has All the Energy Gone?",Berenice Abbott,41,"(American, 1898–1991)",(American),(1898),(1991),(female),1958-61,Gelatin silver print,"12 1/16 × 10 9/16"" (30.7 × 26.8 cm)",Purchase,41.1964,Photograph,Photography,1964-01-07,Y,44528,https://www.moma.org/collection/works/44528,https://www.moma.org/media/W1siZiIsIjE4NTU1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=81810f0f47ffc538,,,,,30.7,,,26.8,,
The Visitation,Maurice Denis,1492,"(French, 1870–1943)",(French),(1870),(1943),(male),(1894),Lithograph,"composition: 6 7/16 x 5 1/16"" (16.3 x 12.9 cm); sheet: 9 5/8 x 6 1/4"" (24.4 x 15.9 cm)",Gift of Mrs. Bertha M. Slattery,63.1954,Print,Drawings & Prints,1954-04-06,Y,61397,https://www.moma.org/collection/works/61397,https://www.moma.org/media/W1siZiIsIjE2Mjg4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0210e9556a46ec51,,,,,16.3,,,12.9,,
The Tarot Cards,Zush (Alberto Porta),6590,"(Spanish, born 1946)",(Spanish),(1946),(0),(male),1976-79,"Torn and cut-and-pasted papers, black and colored inks and mirror on board","29 x 17 1/2"" (73.6 x 44.5 cm)",Gift of Gloria Kirby,271.1987.4,Drawing,Drawings & Prints,1987-09-17,Y,84953,https://www.moma.org/collection/works/84953,https://www.moma.org/media/W1siZiIsIjIwODY0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9209b37833f5521d,,,,,73.7,,,44.5,,
